Part Number,Condition,Low Price,Avg. Price,High Price,Total Quantity,Hits Day,HIts Week,Hits Month,Normalized_Quantity,Normalized_Searches,Market Attractiveness,Market Attractiveness Category
ASR1001-X-PWR-AC,REF,175.0,434.0,840.0,38,73,364,1716,0.0014800592023680947,1.0,0.999259970398816,High Attractiveness
WS-C2960X-48FPS-L,REF,374.68,706.68,1709.02,54,68,352,1677,0.0021200848033921357,0.9772727272727273,0.9875763212346675,High Attractiveness
WS-C2960X-24PSL-RF,REF,1887.8,1887.8,1887.8,2,71,460,1652,4.000160006400256e-05,0.9627039627039627,0.9813319805519494,High Attractiveness
ASR1001-X-PWR-DC,REF,500.0,500.0,500.0,4,68,356,1619,0.00012000480019200768,0.9434731934731935,0.9716765943365007,High Attractiveness
ASR1001-X,REF,10424.0,10424.0,10424.0,1,70,340,1607,0.0,0.9364801864801865,0.9682400932400932,High Attractiveness
ASR1001X-ACS=,REF,77.0,77.0,77.0,8,65,347,1600,0.0002800112004480179,0.9324009324009324,0.9660604606002421,High Attractiveness
WS-C2960X-24PS-L-POEDE,REF,200.0,200.0,200.0,3,73,441,1488,8.000320012800511e-05,0.8671328671328671,0.9335264319663695,High Attractiveness
C9200L-24P-4G-E,REF,3800.0,3800.0,3800.0,8,49,321,1469,0.0002800112004480179,0.8560606060606061,0.927890297430079,High Attractiveness
ISR4331-K9,REF,199.99,407.4,500.0,26,79,362,1411,0.001000040001600064,0.8222610722610723,0.9106305161297361,High Attractiveness
SFP-10G-SR-S-WS,REF,661.75,661.75,661.75,1,115,341,1408,0.0,0.8205128205128205,0.9102564102564102,High Attractiveness
C9300-NM-8X,REF,495.0,748.26,950.0,5,60,317,1382,0.00016000640025601025,0.8053613053613053,0.9026006494805247,High Attractiveness
WS-C2960X-24TS-LL,REF,190.0,287.52,350.0,63,73,462,1370,0.002480099203968159,0.7983682983682984,0.897944099582165,High Attractiveness
WS-C2960X-48FPS-L-C,REF,340.0,340.0,340.0,1,49,288,1356,0.0,0.7902097902097902,0.8951048951048951,High Attractiveness
SFP-10G-SR-S,REF,29.0,56.08,108.75,108,100,324,1354,0.004280171206848274,0.789044289044289,0.8923820589187204,High Attractiveness
WS-C2960X-48FPD-L,REF,1399.0,1727.0,2257.0,3,62,385,1347,8.000320012800511e-05,0.784965034965035,0.8924425158824535,High Attractiveness
ISR4431-K9,REF,2100.0,2900.0,3350.0,4,124,381,1328,0.00012000480019200768,0.7738927738927739,0.8868863845462909,High Attractiveness
WS-C2960X-24TS-LL=,REF,340.0,340.0,340.0,14,74,449,1318,0.0005200208008320333,0.7680652680652681,0.8837726236322181,High Attractiveness
ISR4331-K9+PERF,REF,1200.0,1200.0,1200.0,1,72,325,1218,0.0,0.7097902097902098,0.8548951048951049,High Attractiveness
WS-C2960X-24TS-L,REF,195.23,362.41,450.0,17,70,399,1199,0.000640025601024041,0.6987179487179487,0.8490389615584624,High Attractiveness
WS-C2960X-24PS-L-STACK,REF,349.0,349.0,349.0,4,65,407,1162,0.00012000480019200768,0.6771561771561772,0.8385180861779926,High Attractiveness
